location
"L Street, Sacramento, CA"
"University of Connecticut, Storrs, CT"
"University of Connecticut Campus, Storrs, CT"
"West Hartford Town Hall, West Hartford, CT"
"Legislative Hall, Dover, DE"
"Smyrna, DE"
"Federal Building, Honolulu, HI"
"Kansas State University, Manhattan, KS"
"Boston Common, Boston, MA"
"City Hall, Worcester, MA"
"Legislative Hall, Dover, MD"
"Portland City Hall , Portland, ME"
"Chappaqua Gazebo, Chappaqua, NY"
"Brooklyn, New York City , NY"
"Ohio University , Athens, OH"
"East Tennessee State University, Johnson City, TN"
"Market Square , Knoxville, TN"
"Clayborn Temple, Memphis, TN"
"Coleman Park, Nashville , TN"
"Statehouse, Montpelier, VT"
"Main Street Park, Rutland City , VT"
"Huntington City Hall, Huntington, WV"
"UC Berkeley Campus, Berkeley, CA"
"Sacramento State campus, Sacramento, CA"
"San Francisco, CA"
"Santa Clarita, CA"
"Sunnyvale, CA"
"Washington DC, DC"
"Des Moines, IA"
"Department of Homeland Security , Chicago, IL"
"Charles North neighborhood, Baltimore, MD"
"Grandville , MI"
"Duluth, MN"
"Romare Bearden Park, Charlotte, NC"
"Civic Center, Fargo, ND"
"Historic Courthouse, Flemington, NJ"
"Drexelbrook catering, Drexell Hill, PA"
"Capitol Building, Austin, TX"
"Downtown, Tempe , AZ"
"6840 N Oracle Rd Ste 150, Tucson, AZ"
"Trump tower, new york, new york"
"Allen County Courthouse, Fort Mayne , IN"
"Islamic Society of Fredrick, Fredrick, MD"
"Boone County Courthouse, Columbia, MO"
"Helena, MT"
